科目代码,科目名称,本月发生额,本年累计
2140199,其他公路水路运输支出,1340000.00 ,1340000.00 
2140304,机场建设,0.00 ,170000.00 
2140307,民用航空安全,7700000.00 ,14700000.00 
2140399,其他民用航空运输支出,112740000.00 ,125480000.00 
2140499,成品油价格改革补贴其他支出,0.00 ,85000.00 
2140504,行业监管,0.00 ,3847549.43 
2140505,邮政普遍服务与特殊服务,1604000.00 ,2494000.00 
2140601,车辆购置税用于公路等基础设施建设支出,0.00 ,400000.00 
2146901,民航机场建设,0.00 ,48550000.00 
2146904,航线和机场补贴,0.00 ,4270000.00 
2149901,公共交通运营补助,114150000.00 ,576590000.00 
215,资源勘探信息等支出,0.00 ,62760672.00 
2150208,交通运输设备制造业,0.00 ,24390000.00 
2150299,其他制造业支出,0.00 ,500000.00 
2150508,无线电监管,0.00 ,140000.00 
2150699,其他安全生产监管支出,0.00 ,2630000.00 
2150899,其他支持中小企业发展和管理支出,0.00 ,2130000.00 
2159999,其他资源勘探信息等支出,0.00 ,19110672.00 
216,商业服务业等支出,0.00 ,16182417.00 
2160219,民贸民品贷款贴息,0.00 ,10238317.00 
2160299,其他商业流通事务支出,0.00 ,3318300.00 
2160699,其他涉外发展服务支出,0.00 ,25800.00 
2169999,其他商业服务业等支出,0.00 ,2600000.00 
221,住房保障支出,773000.00 ,5398000.00 
2210201,住房公积金,773000.00 ,5398000.00 
222,粮油物资储备支出,600000.00 ,600000.00 
2220112,粮食财务挂账利息补贴,600000.00 ,600000.00 
229,其他支出,3213249898.94 ,13352565456.18 
2299901,其他支出,3213249898.94 ,13352565456.18 
231,债务还本支出,11875450.00 ,45785447.00 
2310399,地方政府其他一般债务还本支出,11875450.00 ,45785447.00 
232,债务付息支出,182630429.00 ,412379486.74 
2320301,地方政府一般债券付息支出,6679020.00 ,20107424.50 
2320304,地方政府其他一般债务付息支出,159815609.00 ,336613212.24 
2320411,国有土地使用权出让金债务付息支出,16135800.00 ,31920800.00 
2320416,城市基础设施配套费债务付息支出,0.00 ,23738050.00 
233,债务发行费用支出,11712023.11 ,11720210.64 
23303,地方政府一般债务发行费用支出,55463.24 ,510343.04 
2330416,城市基础设施配套费债务发行费用支出,6706559.87 ,6709867.60 
270,往来性支出,2715722538.00 ,1073573275.14 
27003,与下级财政往来性支出,2223130000.00 ,993710000.00 
27004,与上级财政往来性支出,0.00 ,100000.00 
27005,与财政专户往来支出,492592538.00 ,619176599.50 
27006,与预算单位往来支出,0.00 ,22186675.64 
,共用,10603300710.61 ,37621346800.34 
,预算内基金,353760078.37 ,1131387396.89 
,一般预算内,12213000.00 ,28668700.00 
,预算内债务,183375542.24 ,407516426.78 
,合计数,11152649331.22 ,39188919324.01 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
